"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000005102"	1313.52	1114.69	1101.38	595.23	284.83	343.63	299.12	617.46	526.41
"ENSMUSG00000005125"	1157.19	805.31	701.5	1871.16	2810.62	1956.8	5538.8	4832.32	5820.78
"ENSMUSG00000005142"	20085.74	19816.47	19418.67	8253.19	8064.97	5652.89	2074.26	4060.28	4469.58
"ENSMUSG00000005237"	532.81	373.12	469.75	1542.57	2119.31	1663.01	1256.11	9102.49	10376.76
"ENSMUSG00000005251"	0	0	0	8.63	16.41	0.76	0	8.14	0
"ENSMUSG00000005267"	236.8	249.52	255.97	101.17	131.31	123.1	257.19	366.08	156.76
"ENSMUSG00000005312"	4732.37	3898.31	3701.92	3474.12	2409.93	1880.52	3940.71	3604.71	3186.96
"ENSMUSG00000005338"	0.93	0	4.15	73.72	196	136.7	0	0	4.45
"ENSMUSG00000005360"	2.78	10.11	4.15	47.84	95.59	47.58	54.05	134.23	119.36
"ENSMUSG00000005371"	432.91	519.26	701.5	1187.32	1158.62	1742.31	1395.88	1334.17	1636.23
"ENSMUSG00000005397"	98.05	140.7	193.02	558.37	496.28	324.75	221.78	1173.91	1095.57
"ENSMUSG00000005413"	341.33	298.49	224.84	904.21	782.07	761.27	205	235.92	262.76
"ENSMUSG00000005447"	608.66	748.57	750.62	1018.71	1306.35	1390.38	3582.89	1411.46	1494.61
"ENSMUSG00000005465"	61.05	75.4	125.91	516.8	570.62	645.72	738.01	752.51	815
"ENSMUSG00000005503"	0	0	0	43.92	79.17	22.66	18.64	11.39	5.34
"ENSMUSG00000005505"	48.1	64.52	85.09	124.69	120.69	140.47	204.07	162.7	147.86
"ENSMUSG00000005514"	3746.3	4408.24	3927.46	1396.71	1873.1	919.87	1243.99	1341.5	1003.83
"ENSMUSG00000005533"	69.38	57.52	26.98	81.56	203.72	145.76	69.89	92.74	193.28
"ENSMUSG00000005540"	69.38	31.87	82.33	722.27	533.93	916.09	413.73	803.76	907.63
"ENSMUSG00000005610"	21526.91	14213.48	18599.55	12662.88	6729.66	8071.13	6108.15	12063.71	14368.92
"ENSMUSG00000005611"	327.45	306.27	297.48	39.21	0.97	2.27	1.86	8.95	2.67
"ENSMUSG00000005683"	6689.7	6579.32	5648.7	5324.1	3837.93	3647.76	6717.57	4645.21	5045.87
"ENSMUSG00000005686"	801.06	602.43	882.76	199.19	162.21	82.32	146.3	281.48	187.05
"ENSMUSG00000005696"	0	5.44	1.38	21.96	40.55	75.52	226.43	87.05	62.35
"ENSMUSG00000005699"	276.58	297.72	241.44	504.26	531.03	508.27	855.42	417.34	513.94
"ENSMUSG00000005718"	73.08	71.51	73.33	11.76	27.03	17.37	0	13.83	5.34
"ENSMUSG00000005763"	36.08	34.98	38.05	157.63	263.59	166.15	2583.97	678.48	632.4
"ENSMUSG00000005803"	50.88	39.64	45.66	156.85	210.48	165.4	197.55	26.03	92.63
"ENSMUSG00000005813"	901.89	849.62	722.95	590.52	603.45	362.51	1214.18	824.1	644.87
"ENSMUSG00000005824"	10.18	10.88	11.07	272.91	228.83	48.33	2.8	35.79	8.91
"ENSMUSG00000005846"	3751.85	3603.7	3408.59	2156.62	1796.83	2006.64	1449	1611.59	1367.24
"ENSMUSG00000005864"	49.03	7.77	83.02	2.35	0	0	125.8	13.02	26.72
"ENSMUSG00000005882"	839.91	795.21	830.87	603.85	479.86	633.64	640.17	610.14	586.09
"ENSMUSG00000005883"	13.88	0.78	0.69	34.51	5.79	45.31	95.98	151.31	377.66
"ENSMUSG00000005947"	21259.58	19253.68	19616.53	50.19	16.41	44.56	466.85	378.29	484.55
"ENSMUSG00000005949"	1104.47	1081.27	1143.58	435.24	425.79	416.13	218.05	464.52	455.15
"ENSMUSG00000005968"	271.03	253.41	390.19	155.28	136.14	89.87	129.52	135.04	250.29
"ENSMUSG00000005982"	1570.67	1482.37	1648.6	1000.67	1047.59	727.29	845.17	929.04	1087.56
"ENSMUSG00000006021"	1084.12	1047.84	1012.13	788.15	906.62	660.83	704.46	545.87	545.11
"ENSMUSG00000006050"	2049.83	1791.75	1547.6	2529.91	3146.62	3338.87	3613.64	2320.16	2240.13
"ENSMUSG00000006169"	7344.61	6459.61	7497.93	4979.05	3300.14	3181.02	2906.38	3863.41	4877.52
"ENSMUSG00000006179"	30.53	11.66	20.75	142.73	141.93	250.74	15.84	20.34	10.69
"ENSMUSG00000006205"	49.95	75.4	51.89	459.56	402.62	539.99	54.98	1090.12	1307.56
"ENSMUSG00000006281"	6639.75	7232.28	6813.72	1326.12	1848	922.13	441.69	606.07	554.91
"ENSMUSG00000006289"	2764.86	2956.19	2393.69	1681.38	2184.97	1702.29	1763.02	1441.56	1218.49
"ENSMUSG00000006310"	35.15	10.88	6.92	1581.78	532	1283.89	242.28	165.96	148.75
"ENSMUSG00000006344"	1013.81	1295.03	1055.72	372.51	288.69	166.91	82.93	82.17	33.85
"ENSMUSG00000006345"	18.5	9.33	47.74	406.23	21.24	257.53	437.96	165.96	127.37
"ENSMUSG00000006356"	80.48	145.36	106.54	348.2	333.1	801.3	574.94	486.49	377.66
"ENSMUSG00000006360"	4709.24	6676.49	6492.72	18962.57	23500.7	41738.49	60297.85	44850.23	39108.36
"ENSMUSG00000006362"	4166.26	5417.99	5444.62	2616.18	3615.86	2569.29	6180.84	4318.17	4486.5
